ingredient,match_title,match_url,match_category,match_subcategory,score,reasons
Капуста брюссельская,Капуста брюссельская,https://vkusvill.ru/goods/kapusta-bryusselskaya-300-g-22264.html,Овощи,Капуста,4.3,"{'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Капуста брюссельская,"Капуста брюссельская, свежезамороженная",https://vkusvill.ru/goods/kapusta-bryusselskaya-svezhezamorozhennaya-20129.html,Замороженные продукты,"Замороженные овощи, грибы, ягоды и фрукты",3.3619,"{'title_overlap': 0.6667, 'vec_sim': 0.9324, 'fuzzy': 0.678}"
Капуста брюссельская,Капуста пекинская,https://vkusvill.ru/goods/kapusta-pekinskaya-14403.html,Овощи,Капуста,3.1834,"{'title_overlap': 0.3333, 'vec_sim': 0.9978, 'fuzzy': 0.7027}"
Капуста брюссельская,Капуста белокочанная,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Овощи,Капуста,3.1802,"{'title_overlap': 0.3333, 'vec_sim': 0.9983, 'fuzzy': 0.7}"
Капуста брюссельская,Капуста цветная,https://vkusvill.ru/goods/kapusta-tsvetnaya-626.html,Овощи,Капуста,3.073,"{'title_overlap': 0.3333, 'vec_sim': 0.9918, 'fuzzy': 0.6364}"
Капуста брюссельская,Капуста краснокочанная,https://vkusvill.ru/goods/kapusta-krasnokochannaya-643.html,Овощи,Капуста,3.0592,"{'title_overlap': 0.3333, 'vec_sim': 0.9985, 'fuzzy': 0.619}"
Капуста брюссельская,Капуста квашеная,https://vkusvill.ru/goods/kapusta-kvashenaya-300-g-29812.html,Консервация,"Хумус, закуски и соленья",3.0176,"{'title_overlap': 0.3333, 'vec_sim': 0.982, 'fuzzy': 0.6111}"
Капуста брюссельская,Капуста белокочанная крупная,https://vkusvill.ru/goods/kapusta-belokochannaya-krupnaya-113107.html,Овощи,Капуста,2.906,"{'title_overlap': 0.25, 'vec_sim': 0.9895, 'fuzzy': 0.5833}"
Капуста брюссельская,Капуста пекинская фиолетовая,https://vkusvill.ru/goods/kapusta-pekinskaya-fioletovaya-38587.html,Овощи,Капуста,2.8583,"{'title_overlap': 0.25, 'vec_sim': 0.9977, 'fuzzy': 0.5417}"
Капуста брюссельская,Капуста цветная соцветия,https://vkusvill.ru/goods/kapusta-tsvetnaya-sotsvetiya-300-g-116992.html,Овощи,Капуста,2.8524,"{'title_overlap': 0.25, 'vec_sim': 0.9912, 'fuzzy': 0.5455}"
Капуста брюссельская,Капуста брюссельская Планета Витаминов замороженная,https://vkusvill.ru/goods/kapusta-bryusselskaya-planeta-vitaminov-zamorozhennaya-400-g-65016.html,Замороженные овощи,Замороженные овощи,2.8079,"{'title_overlap': 0.4, 'vec_sim': 0.5044, 'fuzzy': 1.0}"
Капуста брюссельская,Капуста кимчи соециями,https://vkusvill.ru/goods/kapusta-kimchi-so-spetsiyami-220-g-101820.html,Консервация,"Хумус, закуски и соленья",2.7856,"{'title_overlap': 0.25, 'vec_sim': 0.9722, 'fuzzy': 0.5238}"
Капуста брюссельская,Капуста молодая Узбекистан,https://vkusvill.ru/goods/kapusta-molodaya-uzbekistan-75911.html,Хиты,Фрукты и овощи,2.7718,"{'title_overlap': 0.25, 'vec_sim': 0.9662, 'fuzzy': 0.5217}"
Капуста брюссельская,"Капуста белокочанная резаная ""Свежая капуста""",https://vkusvill.ru/goods/kapusta-belokochannaya-rezanaya-svezhaya-kapusta-44309.html,Овощи,Капуста,2.7647,"{'title_overlap': 0.2, 'vec_sim': 0.9927, 'fuzzy': 0.5185}"
Капуста брюссельская,Капуста Белоручка квашеная острая,https://vkusvill.ru/goods/kapusta-beloruchka-kvashenaya-ostraya-500-g-99055.html,Соленья,Соленья,2.7449,"{'title_overlap': 0.2, 'vec_sim': 0.9736, 'fuzzy': 0.5283}"
Капуста брюссельская,"Капуста цветная, свежезамороженная",https://vkusvill.ru/goods/kapusta-tsvetnaya-svezhezamorozhennaya-16127.html,Замороженные продукты,"Замороженные овощи, грибы, ягоды и фрукты",2.7212,"{'title_overlap': 0.25, 'vec_sim': 0.9408, 'fuzzy': 0.5185}"
Капуста брюссельская,Капуста очищенная половинка,https://vkusvill.ru/goods/kapusta-ochishchennaya-polovinka-sht-113851.html,Овощи,Капуста,2.7172,"{'title_overlap': 0.25, 'vec_sim': 0.9386, 'fuzzy': 0.5185}"
Капуста брюссельская,Морская капуста с фукусом,https://vkusvill.ru/goods/morskaya-kapusta-s-fukusom-400-g-65004.html,"Рыба, икра и морепродукты","Морская капуста, водоросли",2.689,"{'title_overlap': 0.2, 'vec_sim': 0.9013, 'fuzzy': 0.5778}"
Капуста брюссельская,Капуста Белоручка квашеная Сладкая шинкованная,https://vkusvill.ru/goods/kapusta-beloruchka-kvashenaya-sladkaya-shinkovannaya-800-g-83075.html,Соленья,Соленья,2.6702,"{'title_overlap': 0.1667, 'vec_sim': 0.9588, 'fuzzy': 0.5185}"
Капуста брюссельская,Капуста тушёная с морковью,https://vkusvill.ru/goods/kapusta-tushyenaya-s-morkovyu-ves-sp-107402.html,Кафе,Кулинария кафе,2.6473,"{'title_overlap': 0.2, 'vec_sim': 0.8886, 'fuzzy': 0.5652}"
Пресервы,Паштет из чечевицы,https://vkusvill.ru/goods/pashtet-iz-chechevitsy-24824.html,"Колбаса, сосиски, деликатесы",Постные и растительные продукты,0.3077,{'fallback': True}
Брусника,Брусника,https://vkusvill.ru/goods/brusnika-125-g-116537.html,"Овощи, фрукты, ягоды, зелень",Ягоды,4.3,"{'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Брусника,Брусника свежезамороженная,https://vkusvill.ru/goods/brusnika-svezhezamorozhennaya-914.html,Замороженные продукты,"Замороженные овощи, грибы, ягоды и фрукты",3.5693,"{'title_overlap': 0.5, 'vec_sim': 0.8718, 'fuzzy': 1.0}"
Брусника,Брусника и клюква протертые с сахаром,https://vkusvill.ru/goods/brusnika-i-klyukva-protertye-s-sakharom-101915.html,Консервация,"Варенье, джемы, пюре",2.9046,"{'title_overlap': 0.1667, 'vec_sim': 0.6877, 'fuzzy': 1.0}"
Брусника,Основа для морса брусника,https://vkusvill.ru/goods/osnova-dlya-morsa-brusnika-65843.html,Напитки,Морсы,2.7536,"{'title_overlap': 0.25, 'vec_sim': 0.5576, 'fuzzy': 1.0}"
Брусника,"Варенье ""Домашнее"" брусника - апельсин",https://vkusvill.ru/goods/varene-domashnee-brusnika-apelsin-19821.html,Консервация,"Варенье, джемы, пюре",2.7482,"{'title_overlap': 0.25, 'vec_sim': 0.5546, 'fuzzy': 1.0}"
