ingredient,match_title,match_category,match_subcategory,match_id,score,reasons
Икра овощная,"Закуска овощная ""Аджапсандал"" низкокалорийная",Консервация,"Хумус, закуски и соленья",10274.0,2.4109,"{'title_overlap': 0.2, 'vec_sim': 0.6142, 'fuzzy': 0.7368}"
Икра овощная,"Смесь овощная ""Паприкаш"", быстрозамороженная",Замороженные продукты,"Замороженные овощи, грибы, ягоды и фрукты",7977.0,2.2635,"{'title_overlap': 0.2, 'vec_sim': 0.5323, 'fuzzy': 0.7368}"
Икра овощная,"Смесь овощная ""Карибская"", быстрозам",Замороженные продукты,"Замороженные овощи, грибы, ягоды и фрукты",7968.0,2.2409,"{'title_overlap': 0.2, 'vec_sim': 0.5198, 'fuzzy': 0.7368}"
Лимонник,Апельсины Навелин,Фрукты,Цитрусовые,52.0,0.12,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.12}"
Перец болгарский красный,"Перец болгарский красный ""ВВ Отборное""",Овощи,"Перец, баклажаны",6313.0,3.7042,"{'title_overlap': 0.6, 'vec_sim': 0.8912, 'fuzzy': 1.0}"
Перец болгарский красный,Перец красный сладкий,Овощи,"Перец, баклажаны",6338.0,3.5108,"{'title_overlap': 0.5, 'vec_sim': 0.969, 'fuzzy': 0.8444}"
Перец болгарский красный,Перец красный сладкий,Овощи,"Перец, баклажаны",6337.0,3.5108,"{'title_overlap': 0.5, 'vec_sim': 0.969, 'fuzzy': 0.8444}"
Мясо,Мясо криля натуральное,"Рыба, икра и морепродукты",Рыбные консервы,5123.0,3.6131,"{'title_overlap': 0.3333, 'vec_sim': 0.9888, 'fuzzy': 1.0}"
Мясо,Крабовое мясо Снежный краб,"Рыба, икра и морепродукты",Крабовые палочки и крабы,3663.0,3.4996,"{'title_overlap': 0.25, 'vec_sim': 0.972, 'fuzzy': 1.0}"
Мясо,Мясо краба камчатского первая фаланга,"Рыба, икра и морепродукты",Рыбные консервы,5116.0,3.479,"{'title_overlap': 0.2, 'vec_sim': 0.9883, 'fuzzy': 1.0}"
Пахта,Айва,Фрукты,Прочие фрукты,223.0,0.1333,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.1333}"
Мисо-паста,Арахисовая паста,Сладости и десерты без глютена,Сиропы и пасты,70.0,3.1559,"{'title_overlap': 0.3333, 'vec_sim': 0.9912, 'fuzzy': 0.6923}"
Мисо-паста,"Паста ""Орзо""","Крупы, макароны, мука",Макароны,5913.0,3.1295,"{'title_overlap': 0.3333, 'vec_sim': 0.9978, 'fuzzy': 0.6667}"
Мисо-паста,Паста томатная,Консервация,Томатная паста,5938.0,3.1251,"{'title_overlap': 0.3333, 'vec_sim': 0.9954, 'fuzzy': 0.6667}"
Майоран,Майоран сушеный измельченный,Индилавка: вкусы мира,Пряности и специи,4632.0,3.595,"{'title_overlap': 0.3333, 'vec_sim': 0.9787, 'fuzzy': 1.0}"
Майоран,Лавровый лист,"Масла, соусы, специи, сахар и соль",Специи,4029.0,2.0102,"{'title_overlap': 0.0, 'vec_sim': 0.9501, 'fuzzy': 0.2}"
Майоран,Лавровый лист Готовим вместе сушеный,Специи,Специи,4030.0,1.9884,"{'title_overlap': 0.0, 'vec_sim': 0.9496, 'fuzzy': 0.186}"
Лаваш тонкий,Лаваш круглый тонкий,Хлеб и выпечка,"Лаваши, питы и хлеб для сэндвичей",4022.0,3.9184,"{'title_overlap': 0.6667, 'vec_sim': 0.9732, 'fuzzy': 1.0}"
Лаваш тонкий,Лаваш Лимак армянский тонкий,Хлеб,Хлеб,4023.0,3.5078,"{'title_overlap': 0.5, 'vec_sim': 0.8377, 'fuzzy': 1.0}"
Лаваш тонкий,"Лаваш ""Армянский""",Продукты без лактозы,Хлеб и выпечка без лактозы,4018.0,3.0768,"{'title_overlap': 0.3333, 'vec_sim': 0.9495, 'fuzzy': 0.6897}"
Снеки,Снеки кукурузные Cheetos Кетчуп,Кукурузные снэки и начос,Кукурузные снэки и начос,8098.0,2.9205,"{'title_overlap': 0.25, 'vec_sim': 0.6503, 'fuzzy': 1.0}"
Снеки,Снеки кукурузные Cheetos Сыр,Кукурузные снэки и начос,Кукурузные снэки и начос,8100.0,2.8387,"{'title_overlap': 0.25, 'vec_sim': 0.6048, 'fuzzy': 1.0}"
Снеки,Снеки кукурузные Cheetos Сыр,Кукурузные снэки и начос,Кукурузные снэки и начос,8099.0,2.8387,"{'title_overlap': 0.25, 'vec_sim': 0.6048, 'fuzzy': 1.0}"
Полба,Крупа полба Увелка пшеничная 5х,Крупы и бобовые,Крупы и бобовые,3834.0,3.4088,"{'title_overlap': 0.2, 'vec_sim': 0.9493, 'fuzzy': 1.0}"
Полба,Крупа пшеничная Увелка 5х,Крупы и бобовые,Крупы и бобовые,3838.0,2.0031,"{'title_overlap': 0.0, 'vec_sim': 0.9461, 'fuzzy': 0.2}"
Полба,Крупа перловая Увелка 5х,Крупы и бобовые,Крупы и бобовые,3832.0,1.9418,"{'title_overlap': 0.0, 'vec_sim': 0.8489, 'fuzzy': 0.2759}"
Свити,Свити,Фрукты,Цитрусовые,8692.0,4.3,"{'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Свити,Инжир Египет,Фрукты,Прочие фрукты,2173.0,0.3245,"{'title_overlap': 0.0, 'vec_sim': 0.2195, 'fuzzy': 0.3529}"
Свити,Питахайя,Фрукты,Экзотические фрукты,6561.0,0.2696,"{'title_overlap': 0.0, 'vec_sim': 0.2267, 'fuzzy': 0.3077}"
Ванильный сахар,Сахар Dr. Bakers Ванильный,"Мука, ингредиенты для выпечки","Мука, ингредиенты для выпечки",7186.0,3.2914,"{'title_overlap': 0.5, 'vec_sim': 0.7175, 'fuzzy': 1.0}"
Ванильный сахар,Сахар Dr. Bakers Ванильный с натуральной ванилью,"Мука, ингредиенты для выпечки","Мука, ингредиенты для выпечки",7188.0,3.0295,"{'title_overlap': 0.2857, 'vec_sim': 0.691, 'fuzzy': 1.0}"
Ванильный сахар,Сахар Dr.Bakers Ванильный с красителем зеленый,Сахар и сахарозаменители,Сахар и сахарозаменители,7187.0,2.9716,"{'title_overlap': 0.2857, 'vec_sim': 0.6588, 'fuzzy': 1.0}"
Кунжут,Кунжут белый семена Золото Индии,Индилавка: вкусы мира,Пряности и специи,3879.0,3.4442,"{'title_overlap': 0.2, 'vec_sim': 0.969, 'fuzzy': 1.0}"
Кунжут,Кунжут чёрный семена Золото Индии,Индилавка: вкусы мира,Пряности и специи,3880.0,3.3238,"{'title_overlap': 0.2, 'vec_sim': 0.9021, 'fuzzy': 1.0}"
Кунжут,Гарнир Националь Булгур кунжут семена конопли,Крупы и бобовые,Крупы и бобовые,1807.0,2.7856,"{'title_overlap': 0.1667, 'vec_sim': 0.6216, 'fuzzy': 1.0}"
Анчоусы,Бананы,Фрукты,Фрукты,260.0,0.1385,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.1385}"
Печень говяжья,Печень говяжья ГП,"Мясо, птица",Субпродукты,5987.0,3.6694,"{'title_overlap': 0.6667, 'vec_sim': 0.8348, 'fuzzy': 1.0}"
Печень говяжья,"Печень говяжья, замороженная","Мясо, птица",Субпродукты,5989.0,3.13,"{'title_overlap': 0.6667, 'vec_sim': 0.8129, 'fuzzy': 0.6667}"
Печень говяжья,"Печень говяжья, замороженная","Мясо, птица",Субпродукты,5988.0,3.13,"{'title_overlap': 0.6667, 'vec_sim': 0.8129, 'fuzzy': 0.6667}"
Белый хлеб,"Хлеб ""Злаковый""",Хлеб и выпечка,Хлеб на закваске,2744.0,2.4762,"{'title_overlap': 0.3333, 'vec_sim': 0.6571, 'fuzzy': 0.64}"
Белый хлеб,Средство чистящее универсальное Sanfor Ультра Белый,Универсальные,Универсальные,8497.0,2.4412,"{'title_overlap': 0.1429, 'vec_sim': 0.7213, 'fuzzy': 0.6667}"
Белый хлеб,"Хлеб ""Симеоновский""",Хлеб и выпечка,Хлеб на закваске,2731.0,2.4112,"{'title_overlap': 0.3333, 'vec_sim': 0.6782, 'fuzzy': 0.5714}"
Почки,Апельсин дольки,"Овощи, фрукты, ягоды, зелень",Фруктовые нарезки и десерты,43.0,0.12,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.12}"
Нектар,Нектар Santal Черешневый,Напитки,Соки,5533.0,3.5515,"{'title_overlap': 0.3333, 'vec_sim': 0.9545, 'fuzzy': 1.0}"
Нектар,Нектар Santal Банановый,Напитки,Соки,5532.0,3.5189,"{'title_overlap': 0.3333, 'vec_sim': 0.9364, 'fuzzy': 1.0}"
Нектар,Нектар вишневый,Напитки,Соки,5536.0,3.5081,"{'title_overlap': 0.5, 'vec_sim': 0.8378, 'fuzzy': 1.0}"
Душица,Аджика,Консервация,"Хумус, закуски и соленья",5.0,0.15,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.15}"
Специи,Апельсины,Фрукты,Цитрусовые,50.0,0.12,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.12}"
