product_id,product_title,match_ingredient,score,reasons
1,Абрикос мытый,Абрикос,4.6,"{'coverage_ing': 1.0, 'title_overlap': 0.5, 'vec_sim': 1.0, 'fuzzy': 1.0}"
1,Абрикос мытый,Бекмес,0.2596,"{'coverage_ing': 0.0, 'title_overlap': 0.0, 'vec_sim': 0.2412, 'fuzzy': 0.3158}"
1,Абрикос мытый,Творожная масса,0.2273,"{'coverage_ing': 0.0, 'title_overlap': 0.0, 'vec_sim': 0.2492, 'fuzzy': 0.2857}"
2,Абрикос планета витаминов замороженный,Абрикос,4.45,"{'coverage_ing': 1.0, 'title_overlap': 0.25, 'vec_sim': 1.0, 'fuzzy': 1.0}"
2,Абрикос планета витаминов замороженный,Творожная масса,0.4214,"{'coverage_ing': 0.0, 'title_overlap': 0.0, 'vec_sim': 0.2492, 'fuzzy': 0.4151}"
2,Абрикос планета витаминов замороженный,Простокваша,0.1962,"{'coverage_ing': 0.0, 'title_overlap': 0.0, 'vec_sim': 0.1915, 'fuzzy': 0.3265}"
3,Абрикосы сушеные,Томаты сушеные,3.3962,"{'coverage_ing': 0.5, 'title_overlap': 0.3333, 'vec_sim': 0.9976, 'fuzzy': 0.6667}"
3,Абрикосы сушеные,Томаты пассерованные,2.1763,"{'coverage_ing': 0.0, 'title_overlap': 0.0, 'vec_sim': 0.9956, 'fuzzy': 0.3889}"
3,Абрикосы сушеные,Томаты протертые,2.0618,"{'coverage_ing': 0.0, 'title_overlap': 0.0, 'vec_sim': 0.9957, 'fuzzy': 0.3125}"
5,Аджика,Аджика,4.9,"{'coverage_ing': 1.0, 'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
5,Аджика,Кефаль,0.2882,"{'coverage_ing': 0.0, 'title_overlap': 0.0, 'vec_sim': 0.2426, 'fuzzy': 0.3333}"
5,Аджика,Алыча,0.2624,"{'coverage_ing': 0.0, 'title_overlap': 0.0, 'vec_sim': 0.1981, 'fuzzy': 0.3636}"
6,Аджика,Аджика,4.9,"{'coverage_ing': 1.0, 'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
6,Аджика,Кефаль,0.2882,"{'coverage_ing': 0.0, 'title_overlap': 0.0, 'vec_sim': 0.2426, 'fuzzy': 0.3333}"
6,Аджика,Алыча,0.2624,"{'coverage_ing': 0.0, 'title_overlap': 0.0, 'vec_sim': 0.1981, 'fuzzy': 0.3636}"
7,Аджика,Аджика,4.9,"{'coverage_ing': 1.0, 'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
7,Аджика,Кефаль,0.2882,"{'coverage_ing': 0.0, 'title_overlap': 0.0, 'vec_sim': 0.2426, 'fuzzy': 0.3333}"
7,Аджика,Алыча,0.2624,"{'coverage_ing': 0.0, 'title_overlap': 0.0, 'vec_sim': 0.1981, 'fuzzy': 0.3636}"
8,Аджика сухая острая,Аджика,4.5,"{'coverage_ing': 1.0, 'title_overlap': 0.3333, 'vec_sim': 1.0, 'fuzzy': 1.0}"
8,Аджика сухая острая,Пастернак,0.1768,"{'coverage_ing': 0.0, 'title_overlap': 0.0, 'vec_sim': 0.1507, 'fuzzy': 0.3571}"
8,Аджика сухая острая,Кости,0.1429,"{'coverage_ing': 0.0, 'title_overlap': 0.0, 'vec_sim': 0.1518, 'fuzzy': 0.3333}"
9,Аджика сухая зеленая,Аджика,4.5,"{'coverage_ing': 1.0, 'title_overlap': 0.3333, 'vec_sim': 1.0, 'fuzzy': 1.0}"
9,Аджика сухая зеленая,Кефаль,0.1344,"{'coverage_ing': 0.0, 'title_overlap': 0.0, 'vec_sim': 0.2426, 'fuzzy': 0.2308}"
9,Аджика сухая зеленая,Алыча,0.077,"{'coverage_ing': 0.0, 'title_overlap': 0.0, 'vec_sim': 0.1981, 'fuzzy': 0.24}"
10,Аджика зеленая,Аджика,4.6,"{'coverage_ing': 1.0, 'title_overlap': 0.5, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10,Аджика зеленая,Кефаль,0.2382,"{'coverage_ing': 0.0, 'title_overlap': 0.0, 'vec_sim': 0.2426, 'fuzzy': 0.3}"
10,Аджика зеленая,Алыча,0.1906,"{'coverage_ing': 0.0, 'title_overlap': 0.0, 'vec_sim': 0.1981, 'fuzzy': 0.3158}"
12,Агар пищевой,Фосфат пищевой,3.2591,"{'coverage_ing': 0.5, 'title_overlap': 0.3333, 'vec_sim': 0.8462, 'fuzzy': 0.7368}"
12,Агар пищевой,Аммоний пищевой,3.2591,"{'coverage_ing': 0.5, 'title_overlap': 0.3333, 'vec_sim': 0.8461, 'fuzzy': 0.7368}"
